setting,target_tokens,needle_frac,group,head,head_label,mean_delta_patch,ci_low,ci_high,std,mean_recovery_fraction,positive_examples,n
16k / 0.1,16384,0.1,support_L20H8,L20H8,support L20H8,0.00535634358723962,-0.0025298540057520887,0.01324254118023133,0.0254472923183585,0.0017830550875092502,24,40
16k / 0.1,16384,0.1,support_L22H0,L22H0,support L22H0,0.005833435058593772,-0.0014800425357014433,0.013146912652888986,0.023599231443450757,0.0019676722781876454,21,40
16k / 0.1,16384,0.1,support_L22H4,L22H4,support L22H4,0.010346984863281183,0.0016452744474365916,0.019048695279125775,0.028078800462530456,0.003361390119221764,23,40
16k / 0.1,16384,0.1,activation_control_L20H5,L20H5,L20H5 control,0.024486796061197948,0.014502438067990371,0.034471154054405526,0.03221766554392236,0.007910077600238045,30,40
16k / 0.1,16384,0.1,inactive_control_L21H2,L21H2,L21H2 inactive,0.003194681803385424,-0.0030265357281561516,0.009415899334927,0.020074711448001832,0.0012720820120689222,22,40
16k / 0.1,16384,0.1,inactive_control_L22H8,L22H8,L22H8 inactive,-0.003005472819010424,-0.00867225136103663,0.0026613057230157828,0.018285639988337772,-0.0009043875268471256,15,40
16k / 0.1,16384,0.1,inactive_control_L22H3,L22H3,L22H3 inactive,0.003058369954427098,-0.004507971333532761,0.010624711242386956,0.02441517553482154,0.0010601030135326014,19,40
16k / 0.5,16384,0.5,address_L22H7,L22H7,L22H7,0.4998087565104167,0.43141544116134733,0.568202071859486,0.22069250329919704,0.1654385864522023,38,40
16k / 0.5,16384,0.5,address_L22H10,L22H10,L22H10,0.09544677734375002,0.06734107508574211,0.12355247960175794,0.09069187181004326,0.03132056791447082,39,40
16k / 0.5,16384,0.5,address_L21H11,L21H11,L21H11,0.01762288411458337,0.0027920576917554764,0.032453710537411265,0.04785631742728935,0.005699926032109053,26,40
16k / 0.5,16384,0.5,support_L20H7,L20H7,support L20H7,0.003502400716145915,-0.004208608196099885,0.011213409628391716,0.024881991041381807,0.001129808977103066,20,40
16k / 0.5,16384,0.5,support_L18H3,L18H3,support L18H3,0.005571492513020826,-0.0031774339613912204,0.014320418987432873,0.02823115789845808,0.0015615304111100767,26,40
16k / 0.5,16384,0.5,support_L17H10,L17H10,support L17H10,0.002013142903645848,-0.005147576152636599,0.009173861959928295,0.023106308063697942,0.0002876461983088347,20,40
16k / 0.5,16384,0.5,support_L20H8,L20H8,support L20H8,0.008099365234375,0.00043270167681881775,0.01576602879193118,0.02473889683274178,0.002584581187775422,23,40
16k / 0.5,16384,0.5,support_L22H0,L22H0,support L22H0,0.009599812825520804,0.0018597317560027967,0.01733989389503881,0.02497580148370303,0.0029637677575483712,22,40
16k / 0.5,16384,0.5,support_L22H4,L22H4,support L22H4,0.01785176595052087,0.009537892775624519,0.02616563912541722,0.026827321847395807,0.0056193842560033295,28,40
16k / 0.5,16384,0.5,activation_control_L20H5,L20H5,L20H5 control,0.006301879882812567,-0.0026762174426125255,0.01527997720823766,0.028970649594907395,0.001734064727673745,24,40
16k / 0.5,16384,0.5,inactive_control_L21H2,L21H2,L21H2 inactive,0.00585530598958337,-0.0014073902302649014,0.013118002209431642,0.023435369396546456,0.0018686007331612335,24,40
16k / 0.5,16384,0.5,inactive_control_L22H8,L22H8,L22H8 inactive,0.006552124023437522,-0.0013844892647825822,0.014488737311657627,0.025609974386463202,0.0019087725701958228,23,40
16k / 0.5,16384,0.5,inactive_control_L22H3,L22H3,L22H3 inactive,0.006993611653645759,0.00038661648246566833,0.013600606824825851,0.02131954411292159,0.002046404987664801,25,40
16k / 0.9,16384,0.9,address_L22H7,L22H7,L22H7,0.5007280985514324,0.43785214050640237,0.5636040565964624,0.20288901784437025,0.16355149029198526,38,40
16k / 0.9,16384,0.9,address_L22H10,L22H10,L22H10,0.07028706868489584,0.04700057366306005,0.09357356370673164,0.07514118672568726,0.02246760898475468,37,40
16k / 0.9,16384,0.9,address_L21H11,L21H11,L21H11,0.02559305826822924,0.010768758220321473,0.040417358316137006,0.047835258029726296,0.008822747560395725,28,40
16k / 0.9,16384,0.9,support_L20H7,L20H7,support L20H7,0.0035817464192708483,-0.005069702209390905,0.012233195047932601,0.027916615027052477,0.0008231703568242332,21,40
16k / 0.9,16384,0.9,support_L18H3,L18H3,support L18H3,0.000740559895833437,-0.00798421349695824,0.009465333288625115,0.02815322039801694,0.00010122321763785281,22,40
16k / 0.9,16384,0.9,support_L17H10,L17H10,support L17H10,0.0031941731770833925,-0.0056655327047941285,0.012053879058960914,0.028588622434616,0.0007391602102203078,18,40
16k / 0.9,16384,0.9,support_L20H8,L20H8,support L20H8,0.0018473307291667184,-0.007251283997779366,0.010945945456112802,0.029359536826021045,0.00036868005943101607,24,40
16k / 0.9,16384,0.9,support_L22H0,L22H0,support L22H0,0.01129862467447924,0.002467509520850319,0.02012973982810816,0.02849636547417876,0.0034318012527436046,26,40
16k / 0.9,16384,0.9,support_L22H4,L22H4,support L22H4,0.017845662434895958,0.007967641009570538,0.02772368386022138,0.031874537224460396,0.005646371845016278,30,40
16k / 0.9,16384,0.9,activation_control_L20H5,L20H5,L20H5 control,0.014081827799479262,0.0047065280175411384,0.023457127581417388,0.030252348018167768,0.004351644834660832,29,40
16k / 0.9,16384,0.9,inactive_control_L21H2,L21H2,L21H2 inactive,0.002206420898437633,-0.005377906442945871,0.009790748239821137,0.024473213182715607,0.0006537016126789384,20,40
16k / 0.9,16384,0.9,inactive_control_L22H8,L22H8,L22H8 inactive,-0.0030476888020832147,-0.011568757063856037,0.005473379459689609,0.027495901841810208,-0.0011222320958427865,17,40
16k / 0.9,16384,0.9,inactive_control_L22H3,L22H3,L22H3 inactive,0.002046712239583437,-0.005095021710371121,0.009188446189537996,0.023045046657966715,0.0006650681606590882,21,40
