setting,length,needle_frac,layer,head,detect_rate,event_rate,retrieval_score,avg_mass,retrieval_rate,copied_first_rate,avg_prompt_len_tokens,avg_distance_tokens
L8192_p0.10,8192,0.1,12,6,0.0,0.0,0.0,0.009456884860992432,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,12,7,0.0,0.0,0.0,1.5805906150490047e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,12,8,0.0,0.0,0.0,6.388304755091667e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,12,9,0.0,0.0,0.0,0.00069313645362854,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,12,10,0.0,0.0,0.0,0.0008345544338226318,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,12,11,0.0,0.0,0.0,0.0022855326533317566,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,13,0,0.0,0.0,0.0,5.906434671487659e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,13,1,0.0,0.0,0.0,0.00492546558380127,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,13,2,0.0,0.0,0.0,1.2044089089613408e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,13,3,0.0,0.0,0.0,3.810570342466235e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,13,4,0.0,0.0,0.0,2.254091601230357e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,13,5,0.0,0.0,0.0,0.00043815970420837405,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,13,6,0.0,0.0,0.0,8.216872811317443e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,13,7,0.0,0.0,0.0,4.686154425144195e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,13,8,0.0,0.0,0.0,3.8094446063041686e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,13,9,0.0,0.0,0.0,5.7490193285048005e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,13,10,0.0,0.0,0.0,0.00019170977175235747,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,13,11,0.0,0.0,0.0,3.273384645581245e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,14,0,0.0,0.0,0.0,1.6369724221476645e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,14,1,0.0,0.0,0.0,0.00032542869448661806,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,14,2,0.0,0.0,0.0,0.0036169633269309996,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,14,3,0.0,0.0,0.0,0.00024280141242343233,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,14,4,0.0,0.0,0.0,1.8542195084592096e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,14,5,0.0,0.0,0.0,2.3366605375940707e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,14,6,0.0,0.0,0.0,0.007612952589988708,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,14,7,0.0,0.0,0.0,4.548458382487297e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,14,8,0.0,0.0,0.0,0.0001040235161781311,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,14,9,0.0,0.0,0.0,7.501445361413062e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,14,10,0.0,0.0,0.0,0.0022903025150299073,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,14,11,0.0,0.0,0.0,0.002174556255340576,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,15,0,0.0,0.0,0.0,0.007924818992614746,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,15,1,0.0,0.0,0.0,0.004481649398803711,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,15,2,0.0,0.0,0.0,0.0073919534683227536,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,15,3,0.0,0.0,0.0,0.002405810356140137,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,15,4,0.0,0.0,0.0,0.000653710961341858,1.0,1.0,8135.25,7251.275
