group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
answer_address_inactive_control,literal,1241,8192,8191,0.5,731022,3,-2.042708237965902,-2.032210032145182,0.010498205820719697
query_tail_inactive_control,literal,1241,8192,8191,0.5,731022,9,-2.042708237965902,-1.9383209546407063,0.10438728332519553
answer_address,alias,101234,8192,8193,0.5,476403,3,-1.8547916412353516,-2.032306353251139,-0.1775147120157876
non_address_core,alias,101234,8192,8193,0.5,476403,16,-1.8547916412353516,-3.0632432301839194,-1.2084515889485679
strong13,alias,101234,8192,8193,0.5,476403,13,-1.8547916412353516,-3.2924954096476235,-1.437703768412272
core19,alias,101234,8192,8193,0.5,476403,19,-1.8547916412353516,-3.125835100809733,-1.2710434595743814
first_token_sink,alias,101234,8192,8193,0.5,476403,6,-1.8547916412353516,-2.188068389892578,-0.33327674865722656
query_tail,alias,101234,8192,8193,0.5,476403,9,-1.8547916412353516,-2.917426109313965,-1.0626344680786133
answer_address_inactive_control,alias,101234,8192,8193,0.5,476403,3,-1.8547916412353516,-1.8234845797220867,0.0313070615132649
query_tail_inactive_control,alias,101234,8192,8193,0.5,476403,9,-1.8547916412353516,-1.8860445022583008,-0.03125286102294922
answer_address,alias,101235,8192,8192,0.5,419257,3,-1.802639643351237,-2.0009430249532065,-0.19830338160196948
non_address_core,alias,101235,8192,8192,0.5,419257,16,-1.802639643351237,-3.1467151641845703,-1.3440755208333333
strong13,alias,101235,8192,8192,0.5,419257,13,-1.802639643351237,-3.3342960675557456,-1.5316564242045085
core19,alias,101235,8192,8192,0.5,419257,19,-1.802639643351237,-3.2301012674967446,-1.4274616241455076
first_token_sink,alias,101235,8192,8192,0.5,419257,6,-1.802639643351237,-2.2401277224222818,-0.4374880790710447
query_tail,alias,101235,8192,8192,0.5,419257,9,-1.802639643351237,-2.9799551963806152,-1.1773155530293782
answer_address_inactive_control,alias,101235,8192,8192,0.5,419257,3,-1.802639643351237,-1.7921870549519856,0.01045258839925145
query_tail_inactive_control,alias,101235,8192,8192,0.5,419257,9,-1.802639643351237,-1.7921644846598308,0.01047515869140625
answer_address,alias,101236,8192,8192,0.5,896301,3,-1.6783846219380696,-1.9812450408935547,-0.3028604189554851
non_address_core,alias,101236,8192,8192,0.5,896301,16,-1.6783846219380696,-3.0430335998535156,-1.364648977915446
