variant,seed,target_tokens,actual_tokens,needle_frac,gold,baseline_logprob,topk_ablated_logprob,randomk_ablated_logprob,randomk_ablated_logprob_mean,randomk_ablated_logprob_std,delta_topk,delta_randomk,delta_randomk_mean,delta_randomk_std,delta_randomk_all
relational,301236,8192,8192,0.1,708819,-1.7402187983194988,-2.0214029947916665,-1.7820720672607422,-1.8923170646031697,0.08444954258119851,-0.28118419647216775,-0.041853268941243416,-0.152098266283671,0.0844495425811985,"[-0.041853268941243416, -0.19798692067464185, -0.2917243639628093, -0.10402758916219068, -0.0625063578287759, -0.12496662139892578, -0.16665013631184888, -0.09356864293416334, -0.333417256673177, -0.06263128916422511, -0.2395939826965332, -0.20841757456461574, -0.12509123484293605, -0.2395167350769043, -0.11439530054728175, -0.12514066696166992, -0.22912136713663722, -0.17691707611083984, -0.10437440872192383, -6.453196207667489e-05]"
relational,301237,8192,8192,0.1,227126,-1.9262503782908122,-2.2063914140065513,-1.9669830004374187,-2.10296490987142,0.12212765938596774,-0.280141035715739,-0.040732622146606445,-0.17671453158060707,0.12212765938596773,"[-0.040732622146606445, -0.2505821386973064, -0.3339883486429851, -0.13521615664164233, -0.09951575597127271, -0.21621386210123705, -0.21833006540934252, -0.18517049153645826, -0.3957017262776692, 0.05109906196594238, -0.27187633514404275, -0.20940184593200661, -0.12325390179951978, -0.36390908559163404, 0.03417642911275243, -0.15608986218770338, -0.2995180288950603, -0.18618949254353834, -0.12405387560526537, -0.009822527567545425]"
relational,301238,8192,8192,0.1,112467,-1.8965892791748047,-2.1470398902893066,-1.9904823303222656,-2.0638163566589354,0.09371667733006475,-0.25045061111450195,-0.09389305114746094,-0.16722707748413082,0.09371667733006477,"[-0.09389305114746094, -0.22918081283569336, -0.25010649363199855, -0.12494341532389308, -0.06250794728596998, -0.15610297520955418, -0.229095458984375, -0.12532329559326172, -0.34373998641967773, -0.00011761983235669682, -0.23964405059814453, -0.18751653035481786, -0.12516943613688136, -0.32270828882853175, -0.0521357854207356, -0.13544766108194972, -0.2707878748575845, -0.23954439163208008, -0.12517897288004542, -0.03139750162760424]"
relational,301239,8192,8192,0.1,367666,-2.0757907231648765,-2.2743918100992837,-2.138314882914225,-2.2501396020253503,0.12082673264887574,-0.19860108693440726,-0.06252415974934866,-0.17434887886047348,0.12082673264887575,"[-0.06252415974934866, -0.29139169057210257, -0.3543593088785806, -0.12491273880004883, -0.08320999145507812, -0.15613842010498047, -0.27138471603393555, -0.08194033304850246, -0.40638701121012355, 0.03140290578206395, -0.2926343282063799, -0.14541848500569632, -0.11424827575683594, -0.3229835828145342, -0.02961413065592433, -0.11509831746419241, -0.21817080179850246, -0.29130125045776367, -0.14590867360432913, -0.010754267374674331]"
relational,301240,8192,8192,0.1,321185,-1.9910899798075359,-2.230433146158854,-2.01176118850708,-2.1956639329592385,0.1245785001559617,-0.23934316635131814,-0.020671208699544197,-0.2045739531517028,0.12457850015596168,"[-0.020671208699544197, -0.34342336654663064, -0.42709716161092115, -0.21865240732828783, -0.1458640098571775, -0.22907972335815407, -0.29183594385782885, -0.1347020467122395, -0.4061578114827473, -0.04181162516276049, -0.3024744987487791, -0.1561706860860188, -0.12486203511555982, -0.3748483657836912, -0.12408518791198708, -0.08389838536580396, -0.2390939394632976, -0.28097152709960915, -0.15620994567871072, 0.01043081283569336]"
relational,301241,8192,8192,0.1,795577,-1.8352765242258708,-2.14780855178833,-1.8351784547170003,-1.9741683443387348,0.09519936181434237,-0.31253202756245924,9.806950887059074e-05,-0.13889182011286408,0.09519936181434238,"[9.806950887059074e-05, -0.13511339823404933, -0.23976047833760572, -0.07290474573771144, -5.714098612452645e-05, -0.12480886777242017, -0.20798333485921217, -0.11380139986673976, -0.33329621950785326, -0.04190683364868164, -0.24988698959350564, -0.15615407625834132, -0.13505101203918457, -0.22909092903137185, -0.06156865755716945, -0.1458245118459065, -0.1976797580718992, -0.24976142247517896, -0.12489771842956543, 0.04161302248636889]"
distractor_heavy,401234,8192,8193,0.1,210681,-2.2505248387654624,-2.5527499516805015,-2.177687644958496,-2.3906583627065023,0.16159864232243076,-0.30222511291503906,0.0728371938069663,-0.1401335239410399,0.16159864232243076,"[0.0728371938069663, -0.010361671447753906, -0.22923437754313136, -0.11455345153808594, -0.0938030878702798, -0.23961162567138672, -0.1145461400349932, -0.25003528594970703, -0.4792490005493164, 0.18735376993815134, -0.16664282480875636, -0.21885267893473292, -0.020904858907063506, -0.3958174387613931, 0.0939114888509116, -0.20847638448079397, -0.3437623977661133, -0.13534832000732422, -0.1251293818155923, -0.01044400533040335]"
distractor_heavy,401235,8192,8193,0.1,639039,-2.0219222704569497,-2.5113622347513833,-2.0948990186055503,-2.2036432226498923,0.1506242350254358,-0.4894399642944336,-0.07297674814860056,-0.1817209521929425,0.15062423502543582,"[-0.07297674814860056, 0.031354904174804465, -0.20840628941853856, -0.020649751027425278, -0.0002962748209638377, -0.26015249888102243, -0.22907654444376657, -0.37430874506632517, -0.4480331738789878, 0.009926795959472656, -0.2709444363911948, -0.22940969467163086, -0.19784990946451853, -0.3540374437967939, 0.10488804181416822, -0.21891864140828465, -0.2810239791870117, -0.33310302098592137, -0.25015624364217137, -0.031245390574137666]"
distractor_heavy,401236,8192,8192,0.1,705589,-1.9497793515523274,-2.4073266983032227,-1.981117566426595,-2.102202717463175,0.1174169221092395,-0.45754734675089526,-0.03133821487426758,-0.15242336591084807,0.1174169221092395,"[-0.03133821487426758, -0.05169709523518873, -0.2080640792846682, -0.09388097127278638, -0.05224609375000022, -0.21823581059773756, -0.187466621398926, -0.23821401596069358, -0.4271221160888674, 0.05192422866821289, -0.20841884613037132, -0.17741394042968772, -0.11435874303181959, -0.3017160097757976, 0.011774222056070816, -0.14610799153645826, -0.26002136866251635, -0.26022116343180346, -0.1459921201070149, 0.010349432627359878]"
distractor_heavy,401237,8192,8192,0.1,577255,-2.0298563639322915,-2.2336559295654297,-2.0750179290771484,-2.1978405594825743,0.1050515272756111,-0.20379956563313817,-0.04516156514485692,-0.16798419555028293,0.1050515272756111,"[-0.04516156514485692, -0.011757850646972656, -0.1327460606892905, -0.04860401153564453, -0.03133678436279297, -0.18485450744628906, -0.2659956614176435, -0.23210811614990234, -0.2797931035359702, -0.06825478871663426, -0.28510109583536813, -0.2284379005432129, -0.1958096822102866, -0.2806180318196616, 0.007598002751667998, -0.18303140004475926, -0.24030351638793945, -0.3291761080423994, -0.2554745674133301, -0.06871716181437204]"
distractor_heavy,401238,8192,8192,0.1,984712,-2.0761286417643228,-2.480936050415039,-2.088343938191732,-2.2768124262491862,0.16352578810764626,-0.4048074086507163,-0.01221529642740915,-0.20068378448486346,0.16352578810764626,"[-0.01221529642740915, -0.2203842798868818, -0.428146044413249, -0.2296768824259443, -0.20085525512695312, -0.33345603942871094, -0.12722492218017578, -0.13292344411214208, -0.6164121627807617, 0.07080554962158203, -0.14925575256347656, -0.21056048075358103, -0.05336316426595067, -0.46880404154459665, -0.07043584187825536, -0.13925806681315134, -0.3237005869547529, -0.21882279713948583, -0.13690535227457712, -0.012080828348795869]"
distractor_heavy,401239,8192,8192,0.1,836886,-1.9511070251464844,-2.440480868021647,-2.0138724644978843,-2.104562211036682,0.10532113577142567,-0.4893738428751626,-0.06276543935139989,-0.15345518589019777,0.10532113577142567,"[-0.06276543935139989, -0.00961081186930346, -0.09347597757975246, -0.009547869364420647, 0.020434697469075447, -0.20795122782389308, -0.1457986831665039, -0.24865516026814793, -0.343759854634603, -0.03198719024658203, -0.17756271362304688, -0.28189659118652344, -0.1767517725626626, -0.23960304260253906, -0.030341148376464844, -0.2193390528361001, -0.24957402547200536, -0.2697817484537759, -0.2083902359008789, -0.08274586995442723]"
distractor_heavy,401240,8192,8193,0.1,453754,-2.1962440808614097,-2.545190175374349,-2.2374471028645835,-2.3521294275919593,0.11974132976232285,-0.34894609451293945,-0.04120302200317383,-0.15588534673054996,0.11974132976232284,"[-0.04120302200317383, -0.007287820180256865, -0.17880551020304347, 0.005214214324951172, -0.06418546040852835, -0.19744046529134085, -0.21447356541951468, -0.2753280003865557, -0.3910083770751953, 0.03412294387817383, -0.22913996378580714, -0.23830620447794582, -0.14612436294555664, -0.2913152376810708, 0.037163734436035156, -0.19989856084187796, -0.22363646825154593, -0.2787461280822754, -0.18572457631429007, -0.031584103902180694]"
distractor_heavy,401241,8192,8192,0.1,395505,-2.2317377726236978,-2.599187215169271,-2.2510741551717124,-2.459787313143412,0.1931494655361363,-0.3674494425455732,-0.01933638254801462,-0.22804954051971454,0.19314946553613627,"[-0.01933638254801462, -0.22737439473470067, -0.44835821787516306, -0.1309056282043457, -0.24382750193278024, -0.3418477376302085, -0.2401566505432129, -0.32392326990763376, -0.7197265625, 0.10166803995768214, -0.29403082529703806, -0.15718015034993504, -0.1318060557047529, -0.57408078511556, 0.040327707926432144, -0.15932146708170603, -0.20533100763956735, -0.28692054748535156, -0.1979389190673828, -0.0009204546610517284]"
