group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_logprob,corrupt_clean_logprob,corrupt_gold_logprob,patched_logprob,delta_patch,recovery_denominator,recovery_fraction
strong13,alias,101240,8192,8192,0.1,890717,235938,13,-1.8134337266286213,-4.6640625,-1.886741002400716,-3.9479166666666665,0.7161458333333335,2.850628773371379,0.25122381420656287
core19,alias,101240,8192,8192,0.1,890717,235938,19,-1.8134337266286213,-4.6640625,-1.886741002400716,-3.9192708333333335,0.7447916666666665,2.850628773371379,0.26127276677482525
first_token_sink,alias,101240,8192,8192,0.1,890717,235938,6,-1.8134337266286213,-4.6640625,-1.886741002400716,-4.6015625,0.0625,2.850628773371379,0.021924987421663662
query_tail,alias,101240,8192,8192,0.1,890717,235938,9,-1.8134337266286213,-4.6640625,-1.886741002400716,-4.6796875,-0.015625,2.850628773371379,-0.005481246855415916
answer_address_inactive_control,alias,101240,8192,8192,0.1,890717,235938,3,-1.8134337266286213,-4.6640625,-1.886741002400716,-4.669270833333333,-0.005208333333333037,2.850628773371379,-0.0018270822851385348
query_tail_inactive_control,alias,101240,8192,8192,0.1,890717,235938,9,-1.8134337266286213,-4.6640625,-1.886741002400716,-4.6484375,0.015625,2.850628773371379,0.005481246855415916
answer_address,alias,101241,8192,8192,0.1,184514,293837,3,-1.8434791564941406,-4.682291666666667,-1.9207836786905925,-4.057291666666667,0.625,2.8388125101725263,0.22016247912124925
non_address_core,alias,101241,8192,8192,0.1,184514,293837,16,-1.8434791564941406,-4.682291666666667,-1.9207836786905925,-4.6171875,0.06510416666666696,2.8388125101725263,0.022933591575130235
strong13,alias,101241,8192,8192,0.1,184514,293837,13,-1.8434791564941406,-4.682291666666667,-1.9207836786905925,-4.111979166666667,0.5703125,2.8388125101725263,0.20089826219813994
core19,alias,101241,8192,8192,0.1,184514,293837,19,-1.8434791564941406,-4.682291666666667,-1.9207836786905925,-4.067708333333333,0.6145833333333339,2.8388125101725263,0.21649310446922865
first_token_sink,alias,101241,8192,8192,0.1,184514,293837,6,-1.8434791564941406,-4.682291666666667,-1.9207836786905925,-4.6484375,0.03385416666666696,2.8388125101725263,0.011925467619067771
query_tail,alias,101241,8192,8192,0.1,184514,293837,9,-1.8434791564941406,-4.682291666666667,-1.9207836786905925,-4.638020833333333,0.044270833333333925,2.8388125101725263,0.015594842271088698
answer_address_inactive_control,alias,101241,8192,8192,0.1,184514,293837,3,-1.8434791564941406,-4.682291666666667,-1.9207836786905925,-4.671875,0.010416666666666963,2.8388125101725263,0.003669374652020925
query_tail_inactive_control,alias,101241,8192,8192,0.1,184514,293837,9,-1.8434791564941406,-4.682291666666667,-1.9207836786905925,-4.6640625,0.018229166666666963,2.8388125101725263,0.0064214056410365405
answer_address,paraphrase,201234,8192,8192,0.1,193786,826766,3,-2.250237226486206,-4.611328125,-2.1968205769856772,-4.143880208333333,0.46744791666666696,2.361090898513794,0.1979796360067736
non_address_core,paraphrase,201234,8192,8192,0.1,193786,826766,16,-2.250237226486206,-4.611328125,-2.1968205769856772,-4.598307291666667,0.013020833333333037,2.361090898513794,0.005514753092110557
strong13,paraphrase,201234,8192,8192,0.1,193786,826766,13,-2.250237226486206,-4.611328125,-2.1968205769856772,-4.168619791666667,0.44270833333333304,2.361090898513794,0.18750160513176306
core19,paraphrase,201234,8192,8192,0.1,193786,826766,19,-2.250237226486206,-4.611328125,-2.1968205769856772,-4.112630208333333,0.49869791666666696,2.361090898513794,0.21121504342783923
first_token_sink,paraphrase,201234,8192,8192,0.1,193786,826766,6,-2.250237226486206,-4.611328125,-2.1968205769856772,-4.560546875,0.05078125,2.361090898513794,0.021507537059231658
