condition,patch_group,ablate_group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,clean_logprob,corrupt_clean_logprob,patched_logprob,patch_only_logprob,delta_patch,delta_vs_patch_only,recovery_denominator,recovery_fraction
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,alias,101237,8192,8192,0.1,847571,935678,-1.7244116465250652,-4.471354166666667,-3.7213541666666665,-3.7447916666666665,0.7500000000000004,0.0234375,2.7469425201416016,0.2730308313700495
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,alias,101237,8192,8192,0.1,847571,935678,-1.7244116465250652,-4.471354166666667,-3.7421875,-3.7447916666666665,0.729166666666667,0.0026041666666665186,2.7469425201416016,0.26544664160977033
patch_only,answer_address,,alias,101238,8192,8193,0.1,223928,452318,-1.9181777636210124,-5.129557291666667,-4.426432291666667,-4.426432291666667,0.703125,0.0,3.2113795280456543,0.21894796110502082
patch_plus_ablate_query_tail,answer_address,query_tail,alias,101238,8192,8193,0.1,223928,452318,-1.9181777636210124,-5.129557291666667,-5.157552083333333,-4.426432291666667,-0.027994791666666075,-0.7311197916666661,3.2113795280456543,-0.008717372525477496
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,alias,101238,8192,8193,0.1,223928,452318,-1.9181777636210124,-5.129557291666667,-4.723958333333333,-4.426432291666667,0.4055989583333339,-0.2975260416666661,3.2113795280456543,0.12630053682261866
patch_plus_ablate_non_address_core,answer_address,non_address_core,alias,101238,8192,8193,0.1,223928,452318,-1.9181777636210124,-5.129557291666667,-5.350260416666667,-4.426432291666667,-0.220703125,-0.923828125,3.2113795280456543,-0.06872533223574265
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,alias,101238,8192,8193,0.1,223928,452318,-1.9181777636210124,-5.129557291666667,-4.310546875,-4.426432291666667,0.819010416666667,0.11588541666666696,3.2113795280456543,0.2550338287686262
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,alias,101238,8192,8193,0.1,223928,452318,-1.9181777636210124,-5.129557291666667,-4.359375,-4.426432291666667,0.770182291666667,0.06705729166666696,3.2113795280456543,0.2398291092474442
patch_only,answer_address,,alias,101239,8192,8192,0.1,548522,785208,-1.8470934232076008,-4.829427083333333,-4.399739583333333,-4.399739583333333,0.4296875,0.0,2.9823336601257324,0.14407760799704913
patch_plus_ablate_query_tail,answer_address,query_tail,alias,101239,8192,8192,0.1,548522,785208,-1.8470934232076008,-4.829427083333333,-4.950520833333333,-4.399739583333333,-0.12109375,-0.55078125,2.9823336601257324,-0.04060368952644112
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,alias,101239,8192,8192,0.1,548522,785208,-1.8470934232076008,-4.829427083333333,-4.584635416666667,-4.399739583333333,0.24479166666666607,-0.18489583333333393,2.9823336601257324,0.08208057667710657
patch_plus_ablate_non_address_core,answer_address,non_address_core,alias,101239,8192,8192,0.1,548522,785208,-1.8470934232076008,-4.829427083333333,-4.846354166666667,-4.399739583333333,-0.016927083333333925,-0.4466145833333339,2.9823336601257324,-0.005675784557459709
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,alias,101239,8192,8192,0.1,548522,785208,-1.8470934232076008,-4.829427083333333,-4.345052083333333,-4.399739583333333,0.484375,0.0546875,2.9823336601257324,0.16241475810576447
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,alias,101239,8192,8192,0.1,548522,785208,-1.8470934232076008,-4.829427083333333,-4.389322916666667,-4.399739583333333,0.4401041666666661,0.010416666666666075,2.9823336601257324,0.14757039849394707
patch_only,answer_address,,alias,101240,8192,8192,0.1,890717,235938,-1.8134337266286213,-4.6640625,-3.8984375,-3.8984375,0.765625,0.0,2.850628773371379,0.2685810959153799
patch_plus_ablate_query_tail,answer_address,query_tail,alias,101240,8192,8192,0.1,890717,235938,-1.8134337266286213,-4.6640625,-4.552083333333333,-3.8984375,0.11197916666666696,-0.653645833333333,2.850628773371379,0.039282269130480836
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,alias,101240,8192,8192,0.1,890717,235938,-1.8134337266286213,-4.6640625,-4.2109375,-3.8984375,0.453125,-0.3125,2.850628773371379,0.15895615880706157
patch_plus_ablate_non_address_core,answer_address,non_address_core,alias,101240,8192,8192,0.1,890717,235938,-1.8134337266286213,-4.6640625,-4.817708333333333,-3.8984375,-0.15364583333333304,-0.919270833333333,2.850628773371379,-0.053898927411589734
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,alias,101240,8192,8192,0.1,890717,235938,-1.8134337266286213,-4.6640625,-3.875,-3.8984375,0.7890625,0.0234375,2.850628773371379,0.27680296619850375
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,alias,101240,8192,8192,0.1,890717,235938,-1.8134337266286213,-4.6640625,-3.9166666666666665,-3.8984375,0.7473958333333335,-0.01822916666666652,2.850628773371379,0.26218630791739467
patch_only,answer_address,,alias,101241,8192,8192,0.1,184514,293837,-1.8434791564941406,-4.682291666666667,-4.057291666666667,-4.057291666666667,0.625,0.0,2.8388125101725263,0.22016247912124925
patch_plus_ablate_query_tail,answer_address,query_tail,alias,101241,8192,8192,0.1,184514,293837,-1.8434791564941406,-4.682291666666667,-4.78125,-4.057291666666667,-0.09895833333333304,-0.723958333333333,2.8388125101725263,-0.03485905919419769
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,alias,101241,8192,8192,0.1,184514,293837,-1.8434791564941406,-4.682291666666667,-4.393229166666667,-4.057291666666667,0.2890625,-0.3359375,2.8388125101725263,0.10182514659357778
patch_plus_ablate_non_address_core,answer_address,non_address_core,alias,101241,8192,8192,0.1,184514,293837,-1.8434791564941406,-4.682291666666667,-5.0859375,-4.057291666666667,-0.40364583333333304,-1.028645833333333,2.8388125101725263,-0.1421882677658067
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,alias,101241,8192,8192,0.1,184514,293837,-1.8434791564941406,-4.682291666666667,-3.9973958333333335,-4.057291666666667,0.6848958333333335,0.05989583333333348,2.8388125101725263,0.241261383370369
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,alias,101241,8192,8192,0.1,184514,293837,-1.8434791564941406,-4.682291666666667,-4.057291666666667,-4.057291666666667,0.625,0.0,2.8388125101725263,0.22016247912124925
patch_only,answer_address,,paraphrase,201234,8192,8192,0.1,193786,826766,-2.250237226486206,-4.611328125,-4.143880208333333,-4.143880208333333,0.46744791666666696,0.0,2.361090898513794,0.1979796360067736
patch_plus_ablate_query_tail,answer_address,query_tail,paraphrase,201234,8192,8192,0.1,193786,826766,-2.250237226486206,-4.611328125,-4.777994791666667,-4.143880208333333,-0.16666666666666696,-0.6341145833333339,2.361090898513794,-0.07058883957901685
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,paraphrase,201234,8192,8192,0.1,193786,826766,-2.250237226486206,-4.611328125,-4.436197916666667,-4.143880208333333,0.17513020833333304,-0.2923177083333339,2.361090898513794,0.07417342908888855
patch_plus_ablate_non_address_core,answer_address,non_address_core,paraphrase,201234,8192,8192,0.1,193786,826766,-2.250237226486206,-4.611328125,-5.044270833333333,-4.143880208333333,-0.43294270833333304,-0.900390625,2.361090898513794,-0.18336554031268004
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,paraphrase,201234,8192,8192,0.1,193786,826766,-2.250237226486206,-4.611328125,-4.051432291666667,-4.143880208333333,0.559895833333333,0.09244791666666607,2.361090898513794,0.2371343829607592
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,paraphrase,201234,8192,8192,0.1,193786,826766,-2.250237226486206,-4.611328125,-4.08203125,-4.143880208333333,0.529296875,0.06184895833333304,2.361090898513794,0.2241747131942992
patch_only,answer_address,,paraphrase,201235,8192,8192,0.1,207278,412224,-2.3249409993489585,-6.458333333333333,-5.8671875,-5.8671875,0.591145833333333,0.0,4.133392333984375,0.1430171117493459
patch_plus_ablate_query_tail,answer_address,query_tail,paraphrase,201235,8192,8192,0.1,207278,412224,-2.3249409993489585,-6.458333333333333,-6.627604166666667,-5.8671875,-0.16927083333333393,-0.760416666666667,4.133392333984375,-0.04095203640399789
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,paraphrase,201235,8192,8192,0.1,207278,412224,-2.3249409993489585,-6.458333333333333,-6.247395833333333,-5.8671875,0.2109375,-0.38020833333333304,4.133392333984375,0.051032537672674114
patch_plus_ablate_non_address_core,answer_address,non_address_core,paraphrase,201235,8192,8192,0.1,207278,412224,-2.3249409993489585,-6.458333333333333,-6.916666666666667,-5.8671875,-0.4583333333333339,-1.049479166666667,4.133392333984375,-0.11088551395544019
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,paraphrase,201235,8192,8192,0.1,207278,412224,-2.3249409993489585,-6.458333333333333,-5.7890625,-5.8671875,0.669270833333333,0.078125,4.133392333984375,0.1619180516281141
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,paraphrase,201235,8192,8192,0.1,207278,412224,-2.3249409993489585,-6.458333333333333,-5.848958333333333,-5.8671875,0.609375,0.018229166666666963,4.133392333984375,0.14742733105439187
patch_only,answer_address,,paraphrase,201236,8192,8191,0.1,331504,426569,-2.178695241610209,-5.8671875,-5.169270833333333,-5.169270833333333,0.697916666666667,0.0,3.688492258389791,0.18921462152433582
patch_plus_ablate_query_tail,answer_address,query_tail,paraphrase,201236,8192,8191,0.1,331504,426569,-2.178695241610209,-5.8671875,-5.786458333333333,-5.169270833333333,0.08072916666666696,-0.6171875,3.688492258389791,0.021886765922591155
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,paraphrase,201236,8192,8191,0.1,331504,426569,-2.178695241610209,-5.8671875,-5.333333333333333,-5.169270833333333,0.533854166666667,-0.1640625,3.688492258389791,0.1447350649719733
patch_plus_ablate_non_address_core,answer_address,non_address_core,paraphrase,201236,8192,8191,0.1,331504,426569,-2.178695241610209,-5.8671875,-5.869791666666667,-5.169270833333333,-0.0026041666666669627,-0.7005208333333339,3.688492258389791,-0.0007060247071804374
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,paraphrase,201236,8192,8191,0.1,331504,426569,-2.178695241610209,-5.8671875,-5.182291666666667,-5.169270833333333,0.684895833333333,-0.013020833333333925,3.688492258389791,0.18568449798843387
