condition,patch_group,ablate_group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,clean_logprob,corrupt_clean_logprob,patched_logprob,patch_only_logprob,delta_patch,delta_vs_patch_only,recovery_denominator,recovery_fraction
patch_plus_ablate_query_tail,answer_address,query_tail,literal,1240,8192,8191,0.1,779361,276381,-1.9174858729044597,-4.990885416666667,-5.514322916666667,-4.729166666666667,-0.5234375,-0.78515625,3.073399543762207,-0.17031222024561446
ablate_only_first_token_sink,,first_token_sink,literal,1240,8192,8191,0.1,779361,276381,-1.9174858729044597,-4.990885416666667,-5.255208333333333,-4.729166666666667,-0.2643229166666661,-0.5260416666666661,3.073399543762207,-0.08600343460164094
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,literal,1240,8192,8191,0.1,779361,276381,-1.9174858729044597,-4.990885416666667,-4.997395833333333,-4.729166666666667,-0.0065104166666660745,-0.2682291666666661,3.073399543762207,-0.0021183111970845643
ablate_only_non_address_core,,non_address_core,literal,1240,8192,8191,0.1,779361,276381,-1.9174858729044597,-4.990885416666667,-5.942708333333333,-4.729166666666667,-0.9518229166666661,-1.213541666666666,3.073399543762207,-0.3096970970137913
patch_plus_ablate_non_address_core,answer_address,non_address_core,literal,1240,8192,8191,0.1,779361,276381,-1.9174858729044597,-4.990885416666667,-5.615885416666667,-4.729166666666667,-0.625,-0.88671875,3.073399543762207,-0.20335787492013666
ablate_only_query_tail_inactive_control,,query_tail_inactive_control,literal,1240,8192,8191,0.1,779361,276381,-1.9174858729044597,-4.990885416666667,-4.997395833333333,-4.729166666666667,-0.0065104166666660745,-0.2682291666666661,3.073399543762207,-0.0021183111970845643
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,literal,1240,8192,8191,0.1,779361,276381,-1.9174858729044597,-4.990885416666667,-4.666666666666667,-4.729166666666667,0.32421875,0.0625,3.073399543762207,0.10549189761482089
ablate_only_answer_address_inactive_control,,answer_address_inactive_control,literal,1240,8192,8191,0.1,779361,276381,-1.9174858729044597,-4.990885416666667,-4.98046875,-4.729166666666667,0.010416666666666963,-0.25130208333333304,3.073399543762207,0.0033892979153357073
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,literal,1240,8192,8191,0.1,779361,276381,-1.9174858729044597,-4.990885416666667,-4.71484375,-4.729166666666667,0.27604166666666696,0.014322916666666963,3.073399543762207,0.08981639475639379
patch_only,answer_address,,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-4.276041666666667,-4.276041666666667,0.33333333333333304,0.0,2.6603295008341474,0.1252977622617109
ablate_only_query_tail,,query_tail,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-5.377604166666667,-4.276041666666667,-0.768229166666667,-1.1015625,2.6603295008341474,-0.2887721864625372
patch_plus_ablate_query_tail,answer_address,query_tail,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-5.041666666666667,-4.276041666666667,-0.43229166666666696,-0.765625,2.6603295008341474,-0.1624955354331566
ablate_only_first_token_sink,,first_token_sink,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-4.865885416666667,-4.276041666666667,-0.25651041666666696,-0.58984375,2.6603295008341474,-0.09642054361545742
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-4.45703125,-4.276041666666667,0.15234375,-0.18098958333333304,2.6603295008341474,0.05726499290867261
ablate_only_non_address_core,,non_address_core,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-5.544270833333333,-4.276041666666667,-0.934895833333333,-1.268229166666666,2.6603295008341474,-0.3514210675933925
patch_plus_ablate_non_address_core,answer_address,non_address_core,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-5.234375,-4.276041666666667,-0.625,-0.958333333333333,2.6603295008341474,-0.23493330424070816
ablate_only_query_tail_inactive_control,,query_tail_inactive_control,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-4.576822916666667,-4.276041666666667,0.03255208333333304,-0.30078125,2.6603295008341474,0.012236109595870105
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-4.200520833333333,-4.276041666666667,0.40885416666666696,0.07552083333333393,2.6603295008341474,0.15368553652413003
ablate_only_answer_address_inactive_control,,answer_address_inactive_control,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-4.588541666666667,-4.276041666666667,0.020833333333333037,-0.3125,2.6603295008341474,0.007831110141356828
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-4.192708333333333,-4.276041666666667,0.41666666666666696,0.08333333333333393,2.6603295008341474,0.15662220282713887
patch_only,answer_address,,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-3.9036458333333335,-3.9036458333333335,0.7369791666666665,0.0,2.687669436136882,0.27420751851312586
ablate_only_query_tail,,query_tail,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-5.2578125,-3.9036458333333335,-0.6171875,-1.3541666666666665,2.687669436136882,-0.22963668511523264
patch_plus_ablate_query_tail,answer_address,query_tail,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-4.6796875,-3.9036458333333335,-0.0390625,-0.7760416666666665,2.687669436136882,-0.014533967412356496
ablate_only_first_token_sink,,first_token_sink,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-4.981770833333333,-3.9036458333333335,-0.34114583333333304,-1.0781249999999996,2.687669436136882,-0.12692998206791328
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-4.278645833333333,-3.9036458333333335,0.36197916666666696,-0.37499999999999956,2.687669436136882,0.13468143135450364
ablate_only_non_address_core,,non_address_core,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-5.239583333333333,-3.9036458333333335,-0.598958333333333,-1.3359374999999996,2.687669436136882,-0.22285416698946617
patch_plus_ablate_non_address_core,answer_address,non_address_core,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-4.739583333333333,-3.9036458333333335,-0.09895833333333304,-0.8359374999999996,2.687669436136882,-0.03681938411130301
ablate_only_query_tail_inactive_control,,query_tail_inactive_control,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-4.604166666666667,-3.9036458333333335,0.03645833333333304,-0.7005208333333335,2.687669436136882,0.01356503625153262
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-3.8671875,-3.9036458333333335,0.7734375,0.03645833333333348,2.687669436136882,0.28777255476465863
ablate_only_answer_address_inactive_control,,answer_address_inactive_control,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-4.651041666666667,-3.9036458333333335,-0.010416666666666963,-0.7473958333333335,2.687669436136882,-0.003875724643295176
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-3.8880208333333335,-3.9036458333333335,0.7526041666666665,0.015625,2.687669436136882,0.28002110547806847
patch_only,answer_address,,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-4.057291666666667,-4.057291666666667,0.7526041666666661,0.0,2.8899636268615723,0.26041994427589915
ablate_only_query_tail,,query_tail,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-5.330729166666667,-4.057291666666667,-0.5208333333333339,-1.2734375,2.8899636268615723,-0.18022141472380598
patch_plus_ablate_query_tail,answer_address,query_tail,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-4.747395833333333,-4.057291666666667,0.0625,-0.6901041666666661,2.8899636268615723,0.021626569766856694
ablate_only_first_token_sink,,first_token_sink,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-5.1328125,-4.057291666666667,-0.32291666666666696,-1.075520833333333,2.8899636268615723,-0.1117372771287597
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-4.333333333333333,-4.057291666666667,0.4765625,-0.2760416666666661,2.8899636268615723,0.16490259447228228
