group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
non_address_core,paraphrase,201236,8192,8191,0.1,331504,16,-2.178695241610209,-3.605228861172994,-1.4265336195627851
strong13,paraphrase,201236,8192,8191,0.1,331504,13,-2.178695241610209,-3.3976815938949585,-1.2189863522847495
core19,paraphrase,201236,8192,8191,0.1,331504,19,-2.178695241610209,-3.5635659297307334,-1.3848706881205244
first_token_sink,paraphrase,201236,8192,8191,0.1,331504,6,-2.178695241610209,-2.4699061711629233,-0.2912109295527143
query_tail,paraphrase,201236,8192,8191,0.1,331504,9,-2.178695241610209,-3.355567693710327,-1.1768724521001181
answer_address,paraphrase,201237,8192,8192,0.1,888821,3,-2.145953814188639,-2.1668028036753335,-0.020848989486694336
non_address_core,paraphrase,201237,8192,8192,0.1,888821,16,-2.145953814188639,-3.3750662406285605,-1.2291124264399214
strong13,paraphrase,201237,8192,8192,0.1,888821,13,-2.145953814188639,-3.062606374422709,-0.9166525602340698
core19,paraphrase,201237,8192,8192,0.1,888821,19,-2.145953814188639,-3.375062028566996,-1.229108214378357
first_token_sink,paraphrase,201237,8192,8192,0.1,888821,6,-2.145953814188639,-2.4480148951212564,-0.3020610809326172
query_tail,paraphrase,201237,8192,8192,0.1,888821,9,-2.145953814188639,-3.2084275484085083,-1.0624737342198691
answer_address,paraphrase,201238,8192,8193,0.1,987809,3,-2.062677542368571,-2.1981350580851235,-0.13545751571655273
non_address_core,paraphrase,201238,8192,8193,0.1,987809,16,-2.062677542368571,-3.1251091957092285,-1.0624316533406577
strong13,paraphrase,201238,8192,8193,0.1,987809,13,-2.062677542368571,-2.9585203329722085,-0.8958427906036377
core19,paraphrase,201238,8192,8193,0.1,987809,19,-2.062677542368571,-3.2084560791651406,-1.1457785367965698
first_token_sink,paraphrase,201238,8192,8193,0.1,987809,6,-2.062677542368571,-2.2813907066980996,-0.2187131643295288
query_tail,paraphrase,201238,8192,8193,0.1,987809,9,-2.062677542368571,-3.021001180013021,-0.9583236376444502
answer_address,paraphrase,201239,8192,8192,0.1,845811,3,-2.136019706726074,-2.344478964805603,-0.2084592580795288
non_address_core,paraphrase,201239,8192,8192,0.1,845811,16,-2.136019706726074,-3.4586814244588218,-1.3226617177327475
strong13,paraphrase,201239,8192,8192,0.1,845811,13,-2.136019706726074,-3.2714562813440957,-1.1354365746180215
core19,paraphrase,201239,8192,8192,0.1,845811,19,-2.136019706726074,-3.5212028423945108,-1.3851831356684365
first_token_sink,paraphrase,201239,8192,8192,0.1,845811,6,-2.136019706726074,-2.427538514137268,-0.29151880741119385
query_tail,paraphrase,201239,8192,8192,0.1,845811,9,-2.136019706726074,-3.3338274161020913,-1.197807709376017
answer_address,paraphrase,201240,8192,8192,0.1,825220,3,-2.198137044906616,-2.3752598762512207,-0.1771228313446045
non_address_core,paraphrase,201240,8192,8192,0.1,825220,16,-2.198137044906616,-3.291785399119059,-1.0936483542124429
strong13,paraphrase,201240,8192,8192,0.1,825220,13,-2.198137044906616,-3.187694708506266,-0.9895576635996499
core19,paraphrase,201240,8192,8192,0.1,825220,19,-2.198137044906616,-3.354293465614319,-1.1561564207077026
first_token_sink,paraphrase,201240,8192,8192,0.1,825220,6,-2.198137044906616,-2.437676032384237,-0.2395389874776206
query_tail,paraphrase,201240,8192,8192,0.1,825220,9,-2.198137044906616,-3.3126845359802246,-1.1145474910736084
answer_address,paraphrase,201241,8192,8192,0.1,844590,3,-2.073101202646891,-2.250209013621012,-0.1771078109741211
non_address_core,paraphrase,201241,8192,8192,0.1,844590,16,-2.073101202646891,-3.2917524178822837,-1.2186512152353925
strong13,paraphrase,201241,8192,8192,0.1,844590,13,-2.073101202646891,-3.1668082078297934,-1.0937070051829023
core19,paraphrase,201241,8192,8192,0.1,844590,19,-2.073101202646891,-3.354253570238749,-1.281152367591858
first_token_sink,paraphrase,201241,8192,8192,0.1,844590,6,-2.073101202646891,-2.3022303581237793,-0.22912915547688817
query_tail,paraphrase,201241,8192,8192,0.1,844590,9,-2.073101202646891,-3.250135580698649,-1.1770343780517578
answer_address,relational,301234,8192,8192,0.1,994066,3,-1.979209582010905,-2.184248924255371,-0.20503934224446607
non_address_core,relational,301234,8192,8192,0.1,994066,16,-1.979209582010905,-3.295560677846273,-1.316351095835368
strong13,relational,301234,8192,8192,0.1,994066,13,-1.979209582010905,-3.5390782356262207,-1.5598686536153157
core19,relational,301234,8192,8192,0.1,994066,19,-1.979209582010905,-3.53473170598348,-1.555522123972575
first_token_sink,relational,301234,8192,8192,0.1,994066,6,-1.979209582010905,-2.350663661956787,-0.3714540799458821
query_tail,relational,301234,8192,8192,0.1,994066,9,-1.979209582010905,-3.01033624013265,-1.0311266581217449
answer_address,relational,301235,8192,8192,0.1,726316,3,-1.856849988301595,-2.003612518310547,-0.1467625300089519
non_address_core,relational,301235,8192,8192,0.1,726316,16,-1.856849988301595,-3.232688585917155,-1.3758385976155598
strong13,relational,301235,8192,8192,0.1,726316,13,-1.856849988301595,-3.212886174519857,-1.356036186218262
core19,relational,301235,8192,8192,0.1,726316,19,-1.856849988301595,-3.254000981648763,-1.3971509933471682
first_token_sink,relational,301235,8192,8192,0.1,726316,6,-1.856849988301595,-2.3253049850463867,-0.46845499674479174
query_tail,relational,301235,8192,8192,0.1,726316,9,-1.856849988301595,-2.858013470967611,-1.0011634826660158
answer_address,relational,301236,8192,8192,0.1,708819,3,-1.7402187983194988,-1.959164301554362,-0.21894550323486328
non_address_core,relational,301236,8192,8192,0.1,708819,16,-1.7402187983194988,-3.146368662516276,-1.4061498641967771
strong13,relational,301236,8192,8192,0.1,708819,13,-1.7402187983194988,-3.104877789815267,-1.3646589914957683
core19,relational,301236,8192,8192,0.1,708819,19,-1.7402187983194988,-3.125655174255371,-1.3854363759358723
first_token_sink,relational,301236,8192,8192,0.1,708819,6,-1.7402187983194988,-2.177621682484945,-0.43740288416544604
query_tail,relational,301236,8192,8192,0.1,708819,9,-1.7402187983194988,-2.6881168683369956,-0.9478980700174968
answer_address,relational,301237,8192,8192,0.1,227126,3,-1.9262503782908122,-2.0751763184865317,-0.14892594019571948
non_address_core,relational,301237,8192,8192,0.1,227126,16,-1.9262503782908122,-3.6790992418924966,-1.7528488636016843
strong13,relational,301237,8192,8192,0.1,227126,13,-1.9262503782908122,-3.4305648803710938,-1.5043145020802815
core19,relational,301237,8192,8192,0.1,227126,19,-1.9262503782908122,-3.662120262781779,-1.7358698844909666
first_token_sink,relational,301237,8192,8192,0.1,227126,6,-1.9262503782908122,-2.3498432636260986,-0.4235928853352864
query_tail,relational,301237,8192,8192,0.1,227126,9,-1.9262503782908122,-3.0573750336964927,-1.1311246554056804
answer_address,relational,301238,8192,8192,0.1,112467,3,-1.8965892791748047,-1.9491004943847656,-0.05251121520996094
non_address_core,relational,301238,8192,8192,0.1,112467,16,-1.8965892791748047,-3.3345796267191568,-1.437990347544352
strong13,relational,301238,8192,8192,0.1,112467,13,-1.8965892791748047,-3.292668660481771,-1.3960793813069663
core19,relational,301238,8192,8192,0.1,112467,19,-1.8965892791748047,-3.4179752667744956,-1.521385987599691
