group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
core19,literal,1238,8192,8192,0.1,127404,19,-2.104977607727051,-3.313331127166748,-1.2083535194396973
first_token_sink,literal,1238,8192,8192,0.1,127404,6,-2.104977607727051,-2.5529572168986,-0.44797960917154933
query_tail,literal,1238,8192,8192,0.1,127404,9,-2.104977607727051,-2.8757092157999673,-0.7707316080729165
answer_address_inactive_control,literal,1238,8192,8192,0.1,127404,3,-2.104977607727051,-2.1257909138997397,-0.02081330617268895
non_address_inactive_control,literal,1238,8192,8192,0.1,127404,16,-2.104977607727051,-1.9277920722961426,0.1771855354309082
strong13_inactive_control,literal,1238,8192,8192,0.1,127404,13,-2.104977607727051,-1.9278252919514973,0.17715231577555346
core19_inactive_control,literal,1238,8192,8192,0.1,127404,19,-2.104977607727051,-1.9486069679260254,0.1563706398010254
first_token_sink_inactive_control,literal,1238,8192,8192,0.1,127404,6,-2.104977607727051,-2.0841592152913413,0.020818392435709487
query_tail_inactive_control,literal,1238,8192,8192,0.1,127404,9,-2.104977607727051,-1.9277771313985188,0.17720047632853198
answer_address,literal,1239,8192,8192,0.1,178315,3,-2.0737412770589194,-2.1054471333821616,-0.03170585632324219
non_address_core,literal,1239,8192,8192,0.1,178315,16,-2.0737412770589194,-3.396754264831543,-1.3230129877726235
strong13,literal,1239,8192,8192,0.1,178315,13,-2.0737412770589194,-3.31351629892985,-1.2397750218709307
core19,literal,1239,8192,8192,0.1,178315,19,-2.0737412770589194,-3.4801387786865234,-1.406397501627604
first_token_sink,literal,1239,8192,8192,0.1,178315,6,-2.0737412770589194,-2.479994455973307,-0.4062531789143877
query_tail,literal,1239,8192,8192,0.1,178315,9,-2.0737412770589194,-2.9800963401794434,-0.9063550631205239
answer_address_inactive_control,literal,1239,8192,8192,0.1,178315,3,-2.0737412770589194,-2.063300132751465,0.010441144307454575
non_address_inactive_control,literal,1239,8192,8192,0.1,178315,16,-2.0737412770589194,-1.9487921396891277,0.12494913736979174
strong13_inactive_control,literal,1239,8192,8192,0.1,178315,13,-2.0737412770589194,-1.990475018819173,0.08326625823974632
core19_inactive_control,literal,1239,8192,8192,0.1,178315,19,-2.0737412770589194,-1.9174776077270508,0.15626366933186864
first_token_sink_inactive_control,literal,1239,8192,8192,0.1,178315,6,-2.0737412770589194,-2.0008567174275718,0.07288455963134766
query_tail_inactive_control,literal,1239,8192,8192,0.1,178315,9,-2.0737412770589194,-1.9799909591674805,0.09375031789143895
answer_address,literal,1240,8192,8191,0.1,779361,3,-1.9174858729044597,-2.0843350092569985,-0.16684913635253884
non_address_core,literal,1240,8192,8191,0.1,779361,16,-1.9174858729044597,-3.292328357696533,-1.3748424847920735
strong13,literal,1240,8192,8191,0.1,779361,13,-1.9174858729044597,-3.250934918721517,-1.3334490458170574
core19,literal,1240,8192,8191,0.1,779361,19,-1.9174858729044597,-3.292351245880127,-1.3748653729756672
first_token_sink,literal,1240,8192,8191,0.1,779361,6,-1.9174858729044597,-2.3758246103922525,-0.45833873748779275
query_tail,literal,1240,8192,8191,0.1,779361,9,-1.9174858729044597,-2.9172654151916504,-0.9997795422871907
answer_address_inactive_control,literal,1240,8192,8191,0.1,779361,3,-1.9174858729044597,-1.8445714314778645,0.0729144414265952
non_address_inactive_control,literal,1240,8192,8191,0.1,779361,16,-1.9174858729044597,-1.8030541737874348,0.11443169911702489
strong13_inactive_control,literal,1240,8192,8191,0.1,779361,13,-1.9174858729044597,-1.7820789019266765,0.1354069709777832
core19_inactive_control,literal,1240,8192,8191,0.1,779361,19,-1.9174858729044597,-1.7613760630289714,0.15610980987548828
first_token_sink_inactive_control,literal,1240,8192,8191,0.1,779361,6,-1.9174858729044597,-1.8341525395711262,0.08333333333333348
query_tail_inactive_control,literal,1240,8192,8191,0.1,779361,9,-1.9174858729044597,-1.8133021990458171,0.10418367385864258
answer_address,literal,1241,8192,8192,0.1,731022,3,-1.9490454991658528,-2.1160924434661865,-0.16704694430033373
non_address_core,literal,1241,8192,8192,0.1,731022,16,-1.9490454991658528,-3.375784953435262,-1.4267394542694094
strong13,literal,1241,8192,8192,0.1,731022,13,-1.9490454991658528,-3.2932018438975015,-1.3441563447316487
core19,literal,1241,8192,8192,0.1,731022,19,-1.9490454991658528,-3.3133771419525146,-1.3643316427866619
first_token_sink,literal,1241,8192,8192,0.1,731022,6,-1.9490454991658528,-2.396897474924723,-0.44785197575887037
query_tail,literal,1241,8192,8192,0.1,731022,9,-1.9490454991658528,-3.000783602396647,-1.0517381032307942
answer_address_inactive_control,literal,1241,8192,8192,0.1,731022,3,-1.9490454991658528,-1.917817751566569,0.031227747599283706
non_address_inactive_control,literal,1241,8192,8192,0.1,731022,16,-1.9490454991658528,-1.8241360187530518,0.12490948041280103
strong13_inactive_control,literal,1241,8192,8192,0.1,731022,13,-1.9490454991658528,-1.7822995980580647,0.16674590110778809
core19_inactive_control,literal,1241,8192,8192,0.1,731022,19,-1.9490454991658528,-1.7825249036153157,0.1665205955505371
first_token_sink_inactive_control,literal,1241,8192,8192,0.1,731022,6,-1.9490454991658528,-1.8865590890248616,0.06248641014099121
query_tail_inactive_control,literal,1241,8192,8192,0.1,731022,9,-1.9490454991658528,-1.813472827275594,0.1355726718902588
answer_address,alias,101234,8192,8192,0.1,476403,3,-1.9529555638631184,-2.1638237635294595,-0.21086819966634107
non_address_core,alias,101234,8192,8192,0.1,476403,16,-1.9529555638631184,-3.152637481689453,-1.1996819178263347
strong13,alias,101234,8192,8192,0.1,476403,13,-1.9529555638631184,-3.341231346130371,-1.3882757822672527
core19,alias,101234,8192,8192,0.1,476403,19,-1.9529555638631184,-3.29911740620931,-1.3461618423461916
first_token_sink,alias,101234,8192,8192,0.1,476403,6,-1.9529555638631184,-2.3376550674438477,-0.38469950358072924
query_tail,alias,101234,8192,8192,0.1,476403,9,-1.9529555638631184,-3.048084259033203,-1.0951286951700847
answer_address_inactive_control,alias,101234,8192,8192,0.1,476403,3,-1.9529555638631184,-1.9426733652750652,0.010282198588053237
non_address_inactive_control,alias,101234,8192,8192,0.1,476403,16,-1.9529555638631184,-2.0046253204345703,-0.0516697565714519
